,Frequency (MHz),Clean_EIRP(dBm)
167,95.4475,-62.6159823888505
168,95.54,-68.1737174064599
169,95.6325,-66.5363190042997
170,95.725,-67.17046466984567
171,95.8175,-66.13742073892595
172,95.91,-63.646789360157136
173,96.0025,-65.11555995157825
174,96.095,-66.0409589319126
175,96.1875,-65.81437120306985
176,96.28,-65.63420582892084
177,96.3725,-63.79274287045214
178,96.465,-64.81226563320715
179,96.5575,-65.40960872223594
180,96.65,-67.18708599847642
181,96.7425,-69.8223178875372
182,96.835,-70.9236352614535
183,96.9275,-68.97225597011486
184,97.02,-68.51009397689714
185,97.1125,-73.8805425636439
186,97.205,-74.95442755738112
187,97.2975,-71.98477256609726
188,97.39,-71.23726457675802
189,97.4825,-74.63924484766503
190,97.575,-76.78171361745818
191,97.6675,-75.48175524940943
192,97.76,-74.96828236726537
193,97.8525,-74.43802218861445
194,97.945,-75.87295541038893
195,98.0375,-79.43993595951349
196,98.13,-80.88936385525574
197,98.2225,-80.06679520630618
198,98.315,-78.2621036653059
199,98.4075,-79.16262042521902
200,98.5,-81.5594399397234
201,98.5925,-82.04268374007304
202,98.685,-81.10651066128186
203,98.7775,-79.56952951146887
204,98.87,-82.53381615807677
205,98.9625,-81.6540605672678
206,99.055,-84.06586670174161
207,99.1475,-82.80333443409334
208,99.24,-81.0871045628644
209,99.3325,-81.0187846084913
210,99.425,-84.93486620233178
211,99.5175,-86.32095457260219
212,99.61,-86.54129203498094
213,99.7025,-84.46444827797151
214,99.795,-84.09424480579602
215,99.8875,-86.918878851028
216,99.98,-81.26810425708189
217,100.0725,-82.60956478466382
218,100.165,-76.87462867056213
219,100.2575,-76.58029496296896
220,100.35,-87.16064403415645
221,100.4425,-90.4205992117945
222,100.535,-91.68823302164655
223,100.6275,-87.65982871844271
224,100.72,-86.62765183391477
225,100.8125,-88.04483031334755
226,100.905,-89.71627394221312
227,100.9975,-91.12342080802824
228,101.09,-90.74876578634101
229,101.1825,-89.52836134766102
230,101.275,-89.98762617025407
231,101.3675,-92.75853978873334
232,101.46,-100.02037961689032
233,101.5525,-91.96818038012552
234,101.645,-90.26483881819931
235,101.7375,-91.69647101257664
236,101.83,-91.4656057533911
237,101.9225,-95.16180413220658
238,102.015,-93.15491689702206
239,102.1075,-92.98165806234513
240,102.2,-93.37041032408476
241,102.2925,-94.53877962894103
242,102.385,-98.49177232518882
243,102.4775,-95.23596754962608
244,102.57,-92.61265304470038
245,102.6625,-93.2261584593183
246,102.755,-97.97669182033191
247,102.8475,-96.24547067364347
248,102.94,-93.21893230639667
249,103.0325,-92.56254683231856
250,103.125,-95.89457199506334
251,103.2175,-97.1602108546424
252,103.31,-94.44809789773034
253,103.4025,-94.38935862990715
254,103.495,-93.62244994147991
255,103.5875,-95.08431533886252
256,103.68,-94.9620288342463
257,103.7725,-98.25019337821905
258,103.865,-109.26820734936604
259,103.9575,-93.63224625913375
260,104.05,-93.53511545124128
261,104.1425,-93.7530543424268
262,104.235,-94.22297623550287
263,104.3275,-94.96741354614967
264,104.42,-91.1811542248478
265,104.5125,-92.07518534039251
266,104.605,-93.84215022739224
267,104.6975,-94.35714225402296
268,104.79,-93.0647627662598
269,104.8825,-90.91211840632597
270,104.975,-93.63881544840268
271,105.0675,-93.49019584314158
272,105.16,-96.97884909746745
273,105.2525,-93.17183548972977
274,105.345,-93.10574514028147
275,105.4375,-91.85320328727576
276,105.53,-91.3529642726484
277,105.6225,-93.31831387947474
278,105.715,-95.49042569735124
279,105.8075,-96.29997632888217
280,105.9,-96.274443246619
281,105.9925,-96.8902564044244
282,106.085,-97.60430809681695
283,106.1775,-100.93982027539566
284,106.27,-89.86016662529707
285,106.3625,-91.41769984192254
286,106.455,-102.16461587971733
287,106.5475,-95.34701350079514
288,106.64,-109.59489712836854
289,106.7325,-93.41223017293801
290,106.825,-103.01932579362972
291,106.9175,-106.83249077342703
292,107.01,-117.57668963660467
293,107.1025,-99.5327559098398
294,107.195,-102.63546170784392
295,107.2875,
296,107.38,-115.64594035701226
297,107.4725,
298,107.565,-102.40182215669479
299,107.6575,-97.03340589723409
300,107.75,-101.40195514165336
301,107.8425,-97.56898844255048
302,107.935,-99.42350890978892
303,108.0275,-98.9339699702942
304,108.12,-103.72597494242183
305,108.2125,
306,108.305,-104.68561795542314
307,108.3975,
308,108.49,-100.14153365946117
309,108.5825,-104.80046857065574
310,108.675,-98.90648950295667
311,108.7675,
312,108.86,
313,108.9525,-103.15311308563992
314,109.045,
315,109.1375,-96.96501523019683
316,109.23,-101.55420228070687
317,109.3225,
318,109.415,-104.44253165895395
319,109.5075,-101.00723579871917
320,109.6,
321,109.6925,-104.05311533427198
322,109.785,-108.31247809481495
323,109.8775,
