,Frequency (MHz),Clean_EIRP(dBm)
809,154.8325,-101.2626376252723
810,154.925,-100.68091836501908
811,155.0175,-107.10421129133775
812,155.11,-105.54153637940841
813,155.2025,-107.54810037153023
814,155.295,-102.4966187120067
815,155.3875,-103.9976237706905
816,155.48,
817,155.5725,
818,155.665,
819,155.7575,-108.91894616684759
820,155.85,-111.67297335324305
821,155.9425,
822,156.035,
823,156.1275,
824,156.22,
825,156.3125,-110.5580503619288
826,156.405,-105.71696265124987
827,156.4975,-105.16249350140491
828,156.59,-102.59868715318981
829,156.6825,-106.78935967335063
830,156.775,-105.13225952891577
831,156.8675,-105.36345808007125
832,156.96,-105.02382179912645
833,157.0525,-102.07343498341817
834,157.145,-108.97388617964552
835,157.2375,-112.79611071986255
836,157.33,
837,157.4225,
838,157.515,-104.30603940607256
839,157.6075,-102.5873363031547
840,157.7,-106.25601988200992
841,157.7925,-106.322743467945
842,157.885,-130.6851504868612
843,157.9775,-113.23862244099593
844,158.07,-107.20588673665652
845,158.1625,
846,158.255,
847,158.3475,-110.61577236064359
848,158.44,-109.31330646966029
849,158.5325,
850,158.625,
851,158.7175,
852,158.81,
853,158.9025,-110.61573013569077
854,158.995,
855,159.0875,
856,159.18,
857,159.2725,
858,159.365,
859,159.4575,
860,159.55,-113.1908191930543
861,159.6425,
862,159.735,-109.48025432368911
863,159.8275,-111.16080790904464
864,159.92,-108.3133360414152
865,160.0125,-105.99251808991006
866,160.105,-108.21664105436403
867,160.1975,-106.70398857085934
868,160.29,-105.65659380449743
869,160.3825,-114.28456771882877
870,160.475,
871,160.5675,
872,160.66,-108.34522464208408
873,160.7525,-107.20064250920888
874,160.845,
875,160.9375,-113.58478904035026
876,161.03,
877,161.1225,
878,161.215,-106.69939856965985
879,161.3075,
880,161.4,
881,161.4925,-110.16273578398783
882,161.585,
883,161.6775,-105.64187755501067
884,161.77,-121.67629880834276
885,161.8625,-111.51389621581615
886,161.955,-105.93256039604212
887,162.0475,-110.44174242880555
888,162.14,
889,162.2325,-107.50593520043861
890,162.325,-104.98184275965437
891,162.4175,-105.09080009836492
892,162.51,-102.26075189074882
893,162.6025,-105.55561157577755
894,162.695,
895,162.7875,
896,162.88,
897,162.9725,-136.18255389777522
898,163.065,
899,163.1575,-109.39547054754007
900,163.25,-109.98153770578364
901,163.3425,-111.3803596041169
902,163.435,-109.53531881754125
903,163.5275,-108.25808089081038
904,163.62,-108.13472761635602
905,163.7125,-114.08763355807002
906,163.805,
907,163.8975,-107.08449646758602
908,163.99,-107.07674889400718
909,164.0825,-108.89510355994173
910,164.175,-102.638262695785
911,164.2675,-102.09564060788583
912,164.36,-127.12147931456242
913,164.4525,
914,164.545,-105.34676866793488
915,164.6375,-105.11556828221126
916,164.73,-110.86722811179014
917,164.8225,
918,164.915,-110.77841121195414
919,165.0075,-106.78587411416352
920,165.1,-113.79851868611581
921,165.1925,-113.73862242945799
922,165.285,-104.91911082202108
923,165.3775,
924,165.47,-110.94901061199111
925,165.5625,
926,165.655,-106.08115226266673
927,165.7475,-106.95079061551408
928,165.84,
929,165.9325,-115.76636800357498
930,166.025,-111.6700810967591
931,166.1175,-108.0296376726522
932,166.21,
933,166.3025,
934,166.395,-110.52584574008617
935,166.4875,
936,166.58,
937,166.6725,
938,166.765,-114.99978252808974
939,166.8575,
940,166.95,
941,167.0425,-113.2698306087639
942,167.135,-109.50855079712788
943,167.2275,
944,167.32,
945,167.4125,-110.28767833061426
946,167.505,-104.65873707176613
947,167.5975,-103.35064385772326
948,167.69,-112.04281197365162
949,167.7825,
950,167.875,
951,167.9675,
952,168.06,-110.01733390573465
953,168.1525,
954,168.245,-106.90613546489115
955,168.3375,-121.58003008424387
956,168.43,
957,168.5225,-104.76197274907507
958,168.615,-109.03248763338057
959,168.7075,
960,168.8,
961,168.8925,
962,168.985,-106.57396268534372
963,169.0775,
964,169.17,-108.77528300716308
965,169.2625,-107.97384479115195
966,169.355,
967,169.4475,-131.77051483977712
968,169.54,-113.30870553749541
