,Frequency (MHz),Clean_EIRP(dBm)
223,317.493333,-78.28400113313289
224,318.466667,
225,319.44,-73.7388716609342
226,320.413333,-78.68221993165463
227,321.386667,-74.33685659303227
228,322.36,-75.02418677462498
229,323.333333,-77.52572059534764
230,324.306667,-74.18775314434009
231,325.28,-75.26962222785063
232,326.253333,-81.89668030850962
233,327.226667,-79.69512477102717
234,328.2,-74.37557755172827
235,329.173333,-90.9134131345746
236,330.146667,-78.54328618214777
237,331.12,-72.72612177367006
238,332.093333,-73.10491535724465
239,333.066667,-75.423739163054
240,334.04,-73.4104661668691
241,335.013333,-75.37732263516466
242,335.986667,-77.9245123320874
243,336.96,-79.03748320142907
244,337.933333,-74.35963226597397
245,338.906667,-78.61490251102114
246,339.88,
247,340.853333,-86.18295120562833
248,341.826667,-76.3413246134321
249,342.8,-85.43292721996306
250,343.773333,-75.42232137707303
251,344.746667,-76.57729793473436
252,345.72,-80.4579139918392
253,346.693333,-79.15297913667006
254,347.666667,-78.06186284035721
255,348.64,
256,349.613333,-82.0085620572322
257,350.586667,-81.46976498449683
258,351.56,-79.70997297263406
259,352.533333,-75.94358698657449
260,353.506667,-79.68362703701271
261,354.48,-80.88692835775052
262,355.453333,-73.01760468793242
263,356.426667,-76.45874109182587
264,357.4,-77.47555454526415
265,358.373333,-82.63093275814771
266,359.346667,-77.23908248456199
267,360.32,-76.67190177713972
268,361.293333,-76.35889592949938
269,362.266667,-75.80437435389246
270,363.24,-78.19966328023395
271,364.213333,-90.52433141942322
272,365.186667,
273,366.16,-84.6798636290126
274,367.133333,-80.26184367799357
275,368.106667,-75.49120188459811
276,369.08,-77.03399676977163
277,370.053333,-79.58490096938421
278,371.026667,-76.12069246651812
279,372.0,-75.80128628290421
280,372.973333,-76.80519765073666
281,373.946667,-74.93858666310501
282,374.92,-76.41473324908088
283,375.893333,-73.47254050964067
284,376.866667,-87.09604629378292
285,377.84,-79.89015564409151
286,378.813333,-77.04924963132655
287,379.786667,-75.26445389471972
288,380.76,-74.00661494636624
289,381.733333,-75.79593769452174
290,382.706667,-97.77365473103143
291,383.68,-79.32015288649409
292,384.653333,-77.39131642451778
293,385.626667,-76.84266643753637
294,386.6,-83.6269442329029
295,387.573333,-76.50851054115262
296,388.546667,-76.76851872746701
297,389.52,-79.84330577272482
298,390.493333,-78.64410752135345
299,391.466667,-82.64604070640361
300,392.44,
301,393.413333,-77.9507442289106
302,394.386667,-80.05700181466304
303,395.36,-79.98958324422583
304,396.333333,-75.78655299743754
305,397.306667,-83.5766978650478
306,398.28,-78.82929428703677
307,399.253333,
308,400.226667,-84.57048475024996
309,401.2,-82.53376194897064
310,402.173333,-78.31073209880903
311,403.146667,-82.45482698876424
312,404.12,-85.23042942321389
313,405.093333,-80.32934493119612
314,406.066667,-84.66162835944215
315,407.04,-87.95946745768566
316,408.013333,-91.60969844132353
317,408.986667,
318,409.96,-79.93298534751483
319,410.933333,
320,411.906667,-82.78110580200982
321,412.88,-82.4845051532089
322,413.853333,-86.2631763049233
323,414.826667,-82.96987299866544
324,415.8,-81.75360645934582
325,416.773333,-78.64839371502289
326,417.746667,-83.75675459385374
327,418.72,-83.06840624824453
328,419.693333,-80.39519502088915
329,420.666667,-82.38918131443978
330,421.64,-96.8779872063827
331,422.613333,-80.8696084541102
332,423.586667,-84.53364443766647
333,424.56,-86.4353268567554
334,425.533333,-80.86736108492255
335,426.506667,-82.58835720859958
336,427.48,-81.3512740855259
337,428.453333,-78.1600675130137
338,429.426667,-73.36681738306058
339,430.4,-74.32852327066607
340,431.373333,-70.1091159885277
341,432.346667,-66.40072387490493
342,433.32,-63.91446654094792
343,434.293333,-3.074179875971934
344,435.266667,-63.571111458337896
345,436.24,-66.27245377466424
346,437.213333,-70.37943698192291
347,438.186667,-73.19706293263206
348,439.16,-78.27210295804781
349,440.133333,-80.85146979416851
350,441.106667,-82.16452633768283
351,442.08,
352,443.053333,-79.14018359488485
353,444.026667,-80.68971621308442
354,445.0,-81.76921076906507
355,445.973333,-78.1351527238312
356,446.946667,-81.07079575737271
357,447.92,-79.68246092822571
358,448.893333,-80.10210598802192
359,449.866667,-84.5237053816656
360,450.84,-83.99259213196447
361,451.813333,-82.29909985364385
362,452.786667,-82.50391029011725
363,453.76,-83.65276088155191
364,454.733333,-82.57499958192263
365,455.706667,-78.7237594386776
366,456.68,-84.957899992148
367,457.653333,-81.92759726382434
368,458.626667,-80.00513461007372
369,459.6,-83.85386520444328
370,460.573333,-83.1089699082755
371,461.546667,-80.88683718846868
372,462.52,-83.91774578747707
373,463.493333,-82.9244798288191
374,464.466667,-80.25034467833888
375,465.44,-81.07553934452524
376,466.413333,-80.40873612841393
377,467.386667,-86.62648507060526
378,468.36,-80.79944143841104
379,469.333333,-83.74772774549473
380,470.306667,-80.3208891631285
381,471.28,-81.03053621289777
382,472.253333,-78.6625526517573
383,473.226667,-88.1775141104187
384,474.2,-84.32061265312072
385,475.173333,-81.8747612078352
386,476.146667,-88.52118337488072
387,477.12,-90.8144416117351
388,478.093333,-96.47910690905223
389,479.066667,-83.09424144668215
390,480.04,-81.12082411668268
391,481.013333,-82.16793571918673
392,481.986667,-81.16664699113494
393,482.96,-80.36011055329573
394,483.933333,-79.09665235704117
395,484.906667,-79.31096561488798
396,485.88,-80.3178573348258
397,486.853333,-78.2912477964168
398,487.826667,-83.22405583830145
399,488.8,-84.3903328860998
400,489.773333,-80.96457770403795
401,490.746667,-81.25441515764477
402,491.72,-80.71535154654093
403,492.693333,-81.641453977107
404,493.666667,-82.63086442870416
405,494.64,-83.13277519931034
406,495.613333,-79.20727899445419
407,496.586667,-78.63913549138445
408,497.56,-80.74897410578232
409,498.533333,
410,499.506667,
411,500.48,-79.83389803436455
412,501.453333,-84.46788568526568
413,502.426667,-87.26365873328945
414,503.4,-81.5118100221427
415,504.373333,-81.99236564761215
416,505.346667,-80.54361270155736
417,506.32,-84.68218333737795
418,507.293333,-82.19573272698563
419,508.266667,-82.09449539091321
420,509.24,-81.1960977834861
421,510.213333,-79.49365255165482
422,511.186667,
423,512.16,-78.60651941884784
424,513.133333,-82.19129792200327
425,514.106667,-78.23456900094203
426,515.08,-81.2893319736076
427,516.053333,-79.59257860954375
428,517.026667,-82.56524349440356
429,518.0,-82.14552737488088
430,518.973333,-78.97821476910404
431,519.946667,-83.04541907249701
432,520.92,-79.94791292992258
433,521.893333,-80.56903814254044
434,522.866667,-91.05433954044905
435,523.84,-91.90268282943101
436,524.813333,-78.35896808389539
437,525.786667,-82.13010488184551
438,526.76,-82.69466219222957
439,527.733333,-80.45808790110956
440,528.706667,-79.4207321718263
441,529.68,-80.1014540305602
442,530.653333,-80.70600660536704
443,531.626667,-87.04467584397419
444,532.6,-79.53665320542437
445,533.573333,-80.01832268254057
446,534.546667,-81.35561835016182
447,535.52,-81.63449153916885
448,536.493333,-81.6949384356085
449,537.466667,-80.30865906123496
450,538.44,-81.55078040690509
451,539.413333,-81.44387039568184
452,540.386667,-79.67197418044182
453,541.36,-80.89494240704262
454,542.333333,-81.68931482105278
455,543.306667,-83.12963929124045
456,544.28,
457,545.253333,-80.11009284601528
458,546.226667,-78.25400049376444
459,547.2,-79.88563116431558
460,548.173333,-78.57573817475208
461,549.146667,-82.40796001289452
462,550.12,-79.06469681885953
463,551.093333,-79.93694383560474
464,552.066667,-80.0106261996148
465,553.04,-79.55589366819926
466,554.013333,-80.32616897762834
467,554.986667,-82.1412223083083
468,555.96,-82.00235144776342
469,556.933333,-81.4579010253842
470,557.906667,-78.39001909219566
471,558.88,-77.75624600005088
472,559.853333,-78.18429144015552
473,560.826667,-80.44018718802963
474,561.8,-77.13916809602308
475,562.773333,-82.09531637838003
476,563.746667,-78.043992921281
477,564.72,-78.34801624278847
478,565.693333,-77.6583694906047
479,566.666667,-77.07824944225509
480,567.64,-77.56628155799488
481,568.613333,-85.43075378561561
482,569.586667,-77.84483912097537
483,570.56,-79.78705364577603
484,571.533333,-76.71941572706642
485,572.506667,-76.20832944420275
486,573.48,-77.3217263419909
487,574.453333,-79.18903665301633
488,575.426667,-79.289006943946
489,576.4,-80.16086967794665
490,577.373333,-77.78000961082142
491,578.346667,-77.1375886534854
492,579.32,-78.74360094554383
493,580.293333,-77.5356134897026
494,581.266667,-75.26840377006526
495,582.24,-84.59500034075865
496,583.213333,-78.60688742376054
497,584.186667,
498,585.16,
499,586.133333,-87.58046947453741
500,587.106667,-79.5286709973388
501,588.08,-80.46713606340771
502,589.053333,-76.31074693408391
503,590.026667,-80.45751122057771
504,591.0,-79.13328338436459
505,591.973333,-76.52492852311065
506,592.946667,-80.520297063955
507,593.92,
508,594.893333,
509,595.866667,-75.69476253399954
510,596.84,-77.1973701530104
511,597.813333,-75.85630666344801
