Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
115.15,-83.51360385991902,-89.60939090825886
115.2425,-83.32197443708031,-88.69097773297875
115.335,-83.71189799004271,-90.00015940361693
115.4275,-82.80173044605937,-89.91761331959452
115.52,-80.17798262260735,-90.90311079643547
115.6125,-78.04015665350828,-92.40153055487546
115.705,-78.63237898486487,-92.03971235888831
115.7975,-77.45306376649702,-91.29246501161421
115.89,-77.38288831612384,-91.41801404854571
115.9825,-78.1186233809014,-90.27401125931937
116.075,-79.10991597463648,-91.01383900930445
116.1675,-79.5736326397977,-88.8950208844266
116.26,-80.98220936235177,-89.75885120805489
116.3525,-80.54167891579209,-88.61026717262803
116.445,-81.00908419148865,-89.42767855184022
116.5375,-79.3801078986606,-90.34344102854341
116.63,-79.14211669305328,-88.36283507684234
116.7225,-81.28568919232808,-87.76965220502339
116.815,-82.16889071024461,-89.69475435770555
116.9075,-79.09525692762494,-88.93042385877729
117.0,-77.48934065600945,-91.49471937915398
117.0925,-75.09837329477858,-91.75157916636061
117.185,-74.79279332359589,-90.6149902840451
117.2775,-75.57572201063566,-89.93688228895597
117.37,-75.43837875703605,-90.90211624482902
117.4625,-81.55190696380828,-90.79313316009734
117.555,-79.65697669317466,-90.90172004034262
117.6475,-62.46983630451144,-90.88223559650362
117.74,-60.52158399995501,-92.81864210542376
117.8325,-68.36053751453514,-92.19414041980858
117.925,-81.00877708511244,-90.91083091812025
118.0175,-79.66356909558122,-90.61583197399919
118.11,-78.72262700234184,-90.1025021854473
118.2025,-77.57629425683935,-92.68639404931982
118.295,-77.29484594147728,-93.22996557038353
118.3875,-76.80328582789092,-90.29374145533232
118.48,-76.76116052506082,-88.65763727066629
118.5725,-77.19456326365307,-89.37295376658275
118.665,-76.91195878631339,-90.9959202731298
118.7575,-77.0584987923173,-91.11402552571573
118.85,-77.56790232392224,-89.75737833710583
118.9425,-78.85458679688942,-88.7441818286277
119.035,-81.22592591588709,-89.34168671910975
119.1275,-81.35979966392563,-93.04260758628891
119.22,-81.48426654370688,-91.84524371655844
119.3125,-83.3290329991463,-91.34857187854084
119.405,-82.0283159643338,-87.50429863034942
119.4975,-82.40668575917138,-89.16032498036279
119.59,-87.13224144350445,-92.75194664369977
119.6825,-83.15421762876979,-89.141453651719
119.775,-83.6204878350513,-88.78037705624271
119.8675,-87.8639612807505,-89.59819895164894
119.96,-88.50490069276219,-91.54425310975438
120.0525,-89.14311760424488,-90.84124535082691
120.145,-83.66171416660721,-91.15090331455643
120.2375,-82.46674444777697,-91.13951208693713
120.33,-83.30956046493174,-90.90456931502939
120.4225,-84.08878845790524,-93.08434052089352
120.515,-84.0760934197418,-92.47659848565976
120.6075,-84.25690769199626,-92.12302707676189
120.7,-83.62074637658995,-91.66713309533995
120.7925,-82.35724257556545,-91.10570143787014
120.885,-82.67029543844939,-92.19839449850798
120.9775,-82.87812503729447,-93.77136691961869
121.07,-84.41815649736705,-90.20915686357799
121.1625,-85.01197629375646,-89.11769681377599
121.255,-86.32225465776631,-91.15637636186787
121.3475,-87.22315510840471,-90.67789754004534
121.44,-86.27312883021705,-93.92674668910377
121.5325,-86.05214225095574,-93.2635832909948
121.625,-88.97561962997668,-93.23673565780871
121.7175,-91.17220546457604,-93.3623833820565
121.81,-90.2751468325436,-93.08545719631313
121.9025,-88.1088096551955,-94.67317885685566
121.995,-87.5270732718538,-94.28954733191239
122.0875,-87.98683239606524,-92.99639965680743
122.18,-86.68473908758438,-94.1120385870961
122.2725,-86.75630736376874,-95.03653502490155
122.365,-86.53577828103306,-93.32738136941197
122.4575,-86.96351879218486,-92.04075878241923
122.55,-87.60142381076169,-95.4514756906445
122.6425,-86.70827537465182,-93.61708885121432
122.735,-86.7180726964786,-95.39652423456454
122.8275,-82.2457360674554,-95.42315000788508
122.92,-80.98304207484112,-95.96899635950909
123.0125,-81.10987100120047,-96.70931252952079
123.105,-82.39573894090809,-95.67199168749012
123.1975,-81.82712488892308,-94.66041498902074
123.29,-81.39561019785063,-94.37182937509672
123.3825,-81.07358669080173,-94.24363826550876
123.475,-80.77035722235061,-95.17375382879592
