Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
99.1475,-92.32186439120359,-94.64400794589109
99.24,-92.27065935880415,-94.45606890470259
99.3325,-92.68384999107869,-92.26751393150838
99.425,-92.80305400933531,-92.52328411187437
99.5175,-93.84800766534453,-93.45047806329374
99.61,-93.05181619289883,-91.91428109768398
99.7025,-90.98075275379111,-92.92895679431845
99.795,-90.42043550395925,-92.11449678325613
99.8875,-92.44748286995842,-92.90760402474358
99.98,-91.80011902062999,-93.83666382043468
100.0725,-92.82434221558256,-92.88472124390287
100.165,-94.30036808225492,-90.97118259641508
100.2575,-92.39134381513335,-93.2539536784146
100.35,-91.41743435742008,-92.21599545361148
100.4425,-93.43418667955736,-92.38425992174486
100.535,-92.29061998774588,-93.45298113276542
100.6275,-93.61390589823404,-93.53719996561685
100.72,-93.05239516917274,-94.97484237376258
100.8125,-90.90789614140088,-91.36623964726026
100.905,-91.32114531784647,-90.72835662155741
100.9975,-92.23510997411955,-93.94514720556487
101.09,-92.1455985083019,-93.55618963379018
101.1825,-92.08120276088806,-94.79266668911072
101.275,-93.29297239032417,-94.06133634296089
101.3675,-94.19886524945423,-91.77652485638782
101.46,-93.44646100652295,-92.03875379216748
101.5525,-93.19238008836888,-93.42613710741185
101.645,-88.9088785268591,-94.38815709131222
101.7375,-89.997564082097,-93.04227233405012
101.83,-91.13493151837613,-92.96005816632535
101.9225,-91.69056786295417,-93.05594719645026
102.015,-92.21298369976441,-93.0031906089441
102.1075,-92.34502387304096,-91.19261145849018
102.2,-91.06536517850367,-92.9334376882693
102.2925,-91.06560813896797,-93.23546897881172
102.385,-89.78266873199524,-93.3506008609015
102.4775,-89.5149206597504,-93.71741242000431
102.57,-92.21720877352075,-92.12525931063013
102.6625,-90.64090949517498,-91.00262671929607
102.755,-91.94512923897383,-91.90381606758712
102.8475,-91.71763946653824,-92.59574463011246
102.94,-91.3319094589524,-92.68871335299536
103.0325,-92.0236138811891,-94.58815092952895
103.125,-91.21069350799037,-94.21612563689662
103.2175,-91.8700489451791,-94.47570080064784
103.31,-90.38151187764277,-93.67911167012323
103.4025,-89.87735525755376,-91.51903311399907
103.495,-89.73564046748456,-90.95653432734784
103.5875,-93.0720691219808,-91.45324130215658
103.68,-92.71233413648736,-92.95962570142876
103.7725,-91.67401516859579,-92.62838375990438
103.865,-92.41707452290868,-93.22842248433446
103.9575,-91.16981539694883,-92.12889895407774
104.05,-91.85390018538362,-93.13666080550081
104.1425,-90.59261310768582,-92.65695942116238
104.235,-90.12417502054257,-91.3786992514996
104.3275,-92.16094293452583,-91.27725305415474
104.42,-91.92462729164626,-93.01829336830642
104.5125,-92.04799483824308,-90.00263045836027
104.605,-92.09138625578606,-90.20007461027825
104.6975,-89.10890877905864,-93.06838143530864
104.79,-90.40233303056647,-92.10744167314459
104.8825,-90.03921049893043,-91.72222441494606
104.975,-93.03429527629305,-90.16847343791414
105.0675,-89.92120102148122,-91.33550766210622
105.16,-90.63959274676232,-91.71539841082482
105.2525,-90.02975467711654,-91.55509952574936
105.345,-91.71306051366903,-90.46912588232138
105.4375,-91.3224955763394,-87.57731735368316
105.53,-90.0411699736147,-88.63544640183736
105.6225,-89.14872056551266,-92.09303361482907
105.715,-90.26105704195066,-92.86162009126707
105.8075,-89.87178951881035,-92.89441830299003
105.9,-88.26706921902257,-93.77390515652257
105.9925,-89.19303840560173,-90.30853218001579
106.085,-89.34411161246001,-88.73964994253814
106.1775,-89.61360123445158,-90.3626780777133
106.27,-90.82614701025848,-90.04369919531707
106.3625,-90.1456368369966,-89.98454217146926
106.455,-89.23253249066698,-89.56896590131151
106.5475,-89.24917202969448,-90.4638021566476
106.64,-90.40051073447083,-92.12028307333802
106.7325,-89.83257383717606,-90.9636163176448
106.825,-88.62501020190388,-91.04745740649372
106.9175,-88.56936682799491,-89.55313147643241
107.01,-88.21429297769171,-89.24629065835578
107.1025,-89.57671415011299,-91.02095853487862
107.195,-91.0094391581969,-88.40137641405627
107.2875,-90.58021129473741,-88.38381542071397
107.38,-87.20650442957535,-89.80644949793472
107.4725,-86.76629046652494,-89.85482196066556
107.565,-88.80898932472935,-90.4126880551981
107.6575,-88.95862104972488,-90.41166975577957
107.75,-88.21388568031531,-90.21692980873328
107.8425,-87.82970006322338,-90.31602055882885
107.935,-87.69128988607255,-90.29953573568193
108.0275,-87.53208511085953,-87.21580093117203
108.12,-87.6544459070368,-87.27689005986883
108.2125,-88.336065152997,-89.0762537516298
108.305,-88.26124275681855,-87.71097267625214
108.3975,-88.77340325555983,-85.82091912470045
108.49,-88.42190967086532,-86.31441150192
108.5825,-89.2110181635004,-89.68091257268009
108.675,-87.92250211136218,-89.09024960892077
108.7675,-86.23035228715703,-89.20365703569219
108.86,-87.02263034403114,-89.20877231180458
108.9525,-89.230387106842,-88.91321028799435
109.045,-87.22830478621562,-85.86617557478984
109.1375,-87.38370038175177,-87.87177563809942
109.23,-88.0198204482266,-88.20210957176175
109.3225,-84.63506388031345,-87.38125681244236
109.415,-85.11083687592156,-86.91288460541375
109.5075,-87.19373801231275,-87.0462160396565
109.6,-85.20065131259285,-85.41243567538582
109.6925,-85.73008012354174,-85.98362016260424
109.785,-87.05409161248629,-87.18395916619723
109.8775,-87.6898266511969,-85.92662779865783
109.97,-87.32124463672065,-85.97728101367377
110.0625,-85.64153585009021,-87.91351613573474
110.155,-85.57431181178112,-85.59527738795299
110.2475,-86.07785531248852,-86.28686257567212
110.34,-86.93998118611056,-87.70244761677462
110.4325,-88.67017571812059,-88.88862054233934
110.525,-87.4328018421329,-89.14699709359775
110.6175,-87.01348402926104,-86.03139021822588
110.71,-87.3576443615014,-85.06317262077874
110.8025,-86.98300100740673,-89.03474356111766
110.895,-87.80612919770745,-88.78588841401604
110.9875,-86.78738157588324,-88.58250944453559
111.08,-86.62385847544448,-89.1714964148976
111.1725,-90.1993438343745,-89.72609249160107
111.265,-89.08551827017261,-89.28693428579761
111.3575,-88.88014725251026,-89.12777451081104
111.45,-87.49016215914762,-89.18613841647183
111.5425,-87.60189037966225,-88.49987011599038
111.635,-88.81943727460856,-87.97497011152262
111.7275,-87.80614278063729,-87.51331135973885
111.82,-87.90821574995476,-88.50727580854851
111.9125,-86.39108496455324,-87.68390112666262
112.005,-87.48766268702994,-89.332404508319
112.0975,-89.00794854340602,-88.9254976767068
112.19,-89.35471555923579,-89.57708952163813
112.2825,-89.40192049988624,-88.13500613221046
112.375,-88.28814564389398,-88.75258503598383
112.4675,-87.71854733119764,-87.9525713790492
112.56,-86.52938538292636,-87.21021729210605
112.6525,-85.64690829508898,-89.68439151042101
112.745,-87.74461031944615,-89.30750704796178
112.8375,-88.48663938814738,-89.23026884371379
112.93,-88.8450148325268,-88.07665850928461
113.0225,-86.40201948433999,-88.16056440621499
113.115,-86.06562928306693,-88.90539673912161
113.2075,-86.25617975814194,-90.516204782556
113.3,-86.4914337786428,-88.79418341243186
113.3925,-89.42592634153532,-87.68508161497282
113.485,-88.60760977493868,-88.03521445023165
113.5775,-87.63372226900987,-86.56838413424424
113.67,-87.60005240290488,-87.13469748347129
113.7625,-87.09874950912571,-88.33222424057102
113.855,-87.05774780738278,-89.40827270972653
113.9475,-87.97554576305123,-88.70693766978951
114.04,-89.36272677862021,-86.63392886602256
114.1325,-89.41099605944423,-87.14965114977626
114.225,-87.84704719139437,-87.44471870018343
114.3175,-87.50374439232442,-89.90570667259786
114.41,-89.4413688504379,-87.61595991489102
114.5025,-87.04659486000565,-89.89261841957597
114.595,-87.54383473148532,-89.4959526514072
114.6875,-90.18080855514461,-89.03502608444148
114.78,-88.89050861799335,-90.2174739500246
114.8725,-88.73329992910283,-89.4455725731458
114.965,-87.84710790311755,-88.62203313505114
115.0575,-88.63185134404938,-88.35327163213532
115.15,-89.4962304705657,-89.11254821958914
115.2425,-87.42221818833772,-89.4209669676346
115.335,-88.08128628669597,-88.30012021003581
115.4275,-88.51822807082333,-88.25138236769833
115.52,-88.16455168088197,-90.41605467160463
115.6125,-88.18813737357812,-91.05093034232812
115.705,-89.05947766555805,-88.62086377395649
115.7975,-87.33838807382915,-88.23608552255962
115.89,-88.84868403866916,-88.51294490292698
115.9825,-89.58548378037867,-90.72453712510523
116.075,-88.00586534303784,-88.19255662721753
116.1675,-88.49375612116614,-88.63461000300208
116.26,-89.65396209584746,-88.70697875844512
116.3525,-87.23823900200097,-90.13821763969628
116.445,-87.70616726761776,-88.56239895707088
116.5375,-89.588845251331,-89.66556644273724
116.63,-89.79485085156185,-90.12307503369075
116.7225,-88.41513500042484,-90.33382854290531
116.815,-88.13310162002962,-90.84940258438509
116.9075,-88.74462715397243,-88.84181801090602
117.0,-87.88813258905611,-89.1423287560483
117.0925,-88.61287416596974,-90.83970369477834
117.185,-88.74373524963079,-91.64048665343938
117.2775,-89.79155042608458,-90.41240003545958
117.37,-89.1485095554537,-88.85582309305136
117.4625,-88.10039532097589,-89.14031231316339
117.555,-87.31841214766646,-88.71473630538131
117.6475,-87.65720561169852,-88.31550028943289
117.74,-89.86151985026707,-88.55033210612645
117.8325,-88.6338092561167,-89.0444537873667
117.925,-89.08676838495569,-90.21219563104944
