Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
511.186667,-75.55338544589341,-75.17338544589342
512.16,-74.4909129133053,-76.62091291330529
513.133333,-75.4741602310509,-76.5141602310509
514.106667,-73.71056110446153,-75.60056110446153
515.08,-75.691557404908,-77.091557404908
516.053333,-74.73836615709645,-76.45836615709645
517.026667,-75.24389728024671,-76.13389728024671
518.0,-75.50151750392405,-76.56151750392405
518.973333,-74.76610734071731,-76.8361073407173
519.946667,-75.67982981515866,-76.55982981515868
520.92,-74.85816903643396,-76.46816903643398
521.893333,-74.63900234383165,-75.91900234383164
522.866667,-75.75109208966802,-75.88109208966802
523.84,-75.47493565704681,-75.57493565704681
524.813333,-74.24336157835285,-76.37336157835284
525.786667,-75.52207828499257,-76.59207828499257
526.76,-75.41701261904936,-76.31701261904936
527.733333,-75.30074001865407,-76.88074001865407
528.706667,-74.8035006396203,-76.6435006396203
529.68,-74.68249640792585,-76.15249640792585
530.653333,-75.10823203666742,-76.50823203666742
531.626667,-75.14661954417232,-75.43661954417232
532.6,-74.957080711075,-76.817080711075
533.573333,-75.18461692183618,-76.91461692183617
534.546667,-74.95580348007647,-76.08580348007646
535.52,-75.20085683463773,-76.32085683463774
536.493333,-75.15775308003322,-76.24775308003322
537.466667,-75.24111573054769,-76.8611157305477
538.44,-75.15096553681974,-76.28096553681974
539.413333,-74.53677834199712,-75.5267783419971
540.386667,-74.77631192540977,-76.47631192540979
541.36,-74.06509557067167,-75.07509557067166
542.333333,-75.00893705136693,-76.05893705136693
543.306667,-75.28857769011722,-76.06857769011722
544.28,-75.02909956288573,-74.53909956288572
545.253333,-74.81282924841236,-76.33282924841237
546.226667,-73.9076155026716,-75.8976155026716
547.2,-74.36574971529654,-75.79574971529655
548.173333,-74.26354782278631,-76.27354782278633
549.146667,-74.35768655833317,-75.09768655833318
550.12,-74.23099105815514,-75.96099105815514
551.093333,-74.61572371801424,-76.12572371801424
552.066667,-74.38645206033075,-75.77645206033077
553.04,-74.2824005199215,-75.8124005199215
554.013333,-74.30740644774615,-75.55740644774615
554.986667,-74.63949798159135,-75.48949798159137
555.96,-74.26154669626759,-75.06154669626758
556.933333,-73.81464559669688,-74.63464559669688
557.906667,-73.79167957604274,-75.64167957604273
558.88,-72.8813819567847,-74.59138195678469
559.853333,-73.87210108818971,-75.8821010881897
560.826667,-73.61034035165868,-74.62034035165867
561.8,-73.05496810619996,-75.20496810619997
562.773333,-73.5256595845737,-74.17565958457371
563.746667,-73.14833066624892,-74.84833066624893
564.72,-73.67334475388652,-75.48334475388653
565.693333,-73.04113795839872,-74.88113795839874
566.666667,-72.34496187288617,-74.12496187288616
567.64,-72.8916100690929,-74.7016100690929
568.613333,-73.53269748581376,-73.82269748581375
569.586667,-72.11280489044721,-73.4628048904472
570.56,-72.91880040197489,-73.91880040197489
571.533333,-72.4072253751006,-74.41722537510057
572.506667,-72.26099962175277,-74.50099962175278
573.48,-73.15830404321282,-75.25830404321282
574.453333,-73.56486251373224,-74.95486251373224
575.426667,-73.44532876472442,-74.75532876472442
576.4,-73.05277914465364,-73.99277914465364
577.373333,-73.02691503574295,-74.79691503574293
578.346667,-72.8083543201229,-74.8083543201229
579.32,-73.34936961283061,-74.82936961283062
580.293333,-72.95604099535325,-74.81604099535326
581.266667,-71.45108093595275,-73.78108093595274
582.24,-73.48401288546039,-73.8340128854604
583.213333,-72.87485319323244,-74.22485319323245
584.186667,-73.24227326226725,-73.24227326226725
585.16,-73.41722509778398,-73.22722509778399
586.133333,-73.42239284139596,-73.59239284139596
587.106667,-72.69882416096783,-73.70882416096781
588.08,-73.14578984925085,-74.03578984925085
589.053333,-72.50746936462086,-74.84746936462086
590.026667,-72.8620563994087,-73.69205639940871
591.0,-73.08439900939418,-74.32439900939418
591.973333,-72.47176680570375,-74.64176680570375
592.946667,-72.24813444498004,-72.94813444498004
593.92,-73.04678229073929,-72.66678229073929
594.893333,-72.86897508175511,-72.47897508175511
595.866667,-71.36552820063706,-73.36552820063706
596.84,-72.79888210967769,-74.7588821096777
597.813333,-72.45308907174221,-75.1030890717422
598.786667,-73.12017669087447,-74.55017669087448
599.76,-72.93747945544574,-74.67747945544573
600.733333,-73.12140602206044,-74.49140602206045
601.706667,-73.00087188290095,-74.64087188290097
602.68,-72.86013199985018,-74.75013199985017
603.653333,-71.08748939708958,-74.64748939708957
604.626667,-71.05358515093069,-74.91358515093069
605.6,-73.1879473605507,-74.1579473605507
606.573333,-73.40183241131075,-74.57183241131077
607.546667,-72.84271896500533,-74.82271896500534
608.52,-70.43713391559292,-73.82713391559292
609.493333,-72.0270095228288,-74.9270095228288
610.466667,-70.98185779972948,-74.16185779972948
611.44,-69.20293061473443,-74.89293061473441
612.413333,-73.58047829818675,-74.65047829818675
613.386667,-73.96551138250828,-74.46551138250828
614.36,-70.77941586070558,-75.07941586070558
615.333333,-71.01483416510433,-74.81483416510434
616.306667,-73.05449040242357,-74.28449040242357
617.28,-72.44252828470545,-74.32252828470547
618.253333,-71.94630188991793,-75.13630188991792
619.226667,-73.89382856060692,-74.5438285606069
620.2,-73.1295566838767,-75.13955668387669
621.173333,-73.45336208395227,-74.44336208395227
622.146667,-73.76724550875768,-75.11724550875766
623.12,-72.98453518947987,-74.28453518947987
624.093333,-72.54227173856827,-75.40227173856826
625.066667,-70.53959908250508,-74.6395990825051
