Frequency(MHz),EIRP(dBm),BG_EIRP(dBm)
108.0275,-96.80001079445343,-100.90937053566437
108.12,-98.33274755274748,-99.81315526759123
108.2125,-98.40118987744779,-97.98693664258451
108.305,-97.76205926513637,-98.74785333251918
108.3975,-99.34663012987573,-99.25094989305933
108.49,-96.71549512303308,-99.34640027440027
108.5825,-97.57955359763572,-98.49272345847557
108.675,-95.99164674020712,-99.09954926706259
108.7675,-100.07679743893085,-98.71425624020038
108.86,-99.59516041792804,-97.61315053023273
108.9525,-97.86966505952287,-99.39546767182756
109.045,-99.17857827045364,-98.97530068256302
109.1375,-95.44181429632582,-100.73144900091566
109.23,-97.54895291008863,-99.75029263176832
109.3225,-97.35885031291393,-97.34095175334362
109.415,-96.07727890470407,-96.76120071866892
109.5075,-95.42909983047859,-96.83659342178719
109.6,-98.23005558291328,-97.09926487246406
109.6925,-97.62451719472296,-98.74600004384405
109.785,-98.41479179481388,-98.88388511756779
109.8775,-98.2267643929517,-97.01868791590091
109.97,-96.59942119519106,-99.12678783337465
110.0625,-99.26082769225464,-99.14706579039917
110.155,-97.49270690660337,-96.88919128160337
110.2475,-98.30372583042478,-96.86830865513181
110.34,-99.63737353842586,-99.16023120444149
110.4325,-99.29653699349726,-97.77879102181757
110.525,-99.40043311458427,-97.8402829680999
110.6175,-97.53730347883537,-98.03115418684318
110.71,-96.91975642365286,-96.74939204377004
110.8025,-101.93061970782581,-97.07264851641956
110.895,-100.58729598028003,-98.74656722051441
110.9875,-99.05838723076158,-97.94564003837877
111.08,-97.50877230448532,-100.0447525290947
111.1725,-95.99007931424421,-97.63515988065046
111.265,-96.81846274001875,-97.91658438308515
111.3575,-97.6220506335667,-98.69399582399639
111.45,-99.75501474781778,-99.0731604997709
111.5425,-97.63517124488136,-100.05851108863136
111.635,-98.81295042260902,-101.82546262964027
111.7275,-101.61675956859838,-100.80498436107885
111.82,-99.4502928356815,-100.47060991331821
111.9125,-100.97868846848726,-99.10366558030367
112.005,-100.00924321994539,-99.2246515451407
112.0975,-100.396121213591,-99.5161163307785
112.19,-97.41679589913115,-100.48181359932646
112.2825,-98.39360156611662,-97.84627643183927
112.375,-94.51808179364895,-97.82872022138332
112.4675,-93.54106055633753,-96.61987220184534
112.56,-93.58545502947533,-98.88465699480736
112.6525,-96.37707240300377,-97.32949549870689
112.745,-98.99763112174703,-96.84453206168844
112.8375,-98.52262404459186,-98.34850600259968
112.93,-95.29862404751482,-98.14409066128435
113.0225,-95.01247500258623,-99.24869631606279
113.115,-98.41773220765762,-97.13245388734512
113.2075,-97.79067129749464,-97.87207693714308
113.3,-96.67212479162853,-97.92575638342541
113.3925,-97.3066681905476,-98.05100717980541
113.485,-95.95918644298227,-97.73801792491587
113.5775,-96.72083555479195,-98.14940916319038
113.67,-98.88292106796882,-97.91242393662117
113.7625,-96.32848436434881,-98.05662614901678
113.855,-95.5327146529163,-99.75503520955692
113.9475,-94.70164373298769,-100.28927495857363
114.04,-95.38514495661379,-98.05138946344972
114.1325,-96.55360864361877,-97.97414087018127
114.225,-98.4532582437097,-96.59237262359251
114.3175,-98.01527661821468,-97.82306165239437
114.41,-95.01043097904781,-96.79554145268062
114.5025,-92.76747193656061,-96.62020936331842
114.595,-94.05765498391716,-99.62532008401482
114.6875,-95.36385213039482,-99.67980824611747
114.78,-98.01139601759512,-99.47395094923574
114.8725,-92.36011177979542,-98.3430677124126
114.965,-92.06388430469103,-98.87243990771837
115.0575,-94.15857937597337,-100.03543331884447
115.15,-96.41925192528305,-98.02643728905258
115.2425,-98.3504261835771,-97.51013229929976
115.335,-93.12107798093365,-100.25408884519146
115.4275,-91.29424900436443,-98.30391544723552
115.52,-92.16448728853739,-97.51910917574442
